Hellraiser, Renascido do Inferno, "Larry (Andrew Robinson) e Julia (Clare Higgins) mudam-se para uma velha casa. Lá, descobrem uma horrível criatura, que na verdade é Frank (Sean Chapman), meio-irmão de Larry e antigo amante de Julia. Frank perdeu seu corpo humano para os Cenobites, um trio de repulsivos demônios. Uma gota de sangue desperta Frank, que força sua antiga namorada a trazer vítimas para que ele possa novamente reconstituir seu corpo. Este clássico do horror moderno foi produzido e dirigido em 1987 por Clive Baker e ainda impressiona com a força de suas imagens. Agora, você pode apreciar Hellraiser - Renascido do Inferno, com toda a qualidade digital. Uma infinidade de extras torna a experiência de Hellraiser ainda mais excitante. Agora, o horror não tem limites", 94min, 1987, http://www.terror.cursodeproducaomultimidia.com.br/wp-content/uploads/2015/05/hellraiser-capa-194x300.png , https://www.youtube.com/embed/WAx34IZ8bTk , Terror, "Doug Bradley, Sean Chapman, Oliver Smith, Ashley Laurence, Andrew Robinson, Clare Higgins, Robert Hines, Frank Baker, Kenneth Nelson, Nicholas Vince, Simon Bamford, Grace Kirby" , Clive Barker, Ingles,Reino Unido, 5, 487417 
Lucy,Lucy, "Ameaçada, Lucy aceita trabalhar como mula para a máfia chinesa, transportando drogas dentro do seu estômago. Mas quando o seu corpo acaba absorvendo as drogas, ela ganha poderes sobre-humanos, incluindo a telecinesia, a ausência de dor e a capacidade de adquirir conhecimento infinito.", 84min, 2014, https://cdn.fstatic.com/media/movies/covers/2014/05/thumbs/lucy_t78187_4_jpg_290x478_upscale_q90.jpg , https://www.youtube.com/embed/1oJR6Di0Eck , Ficção Científica,  "Amr Waked, Morgan Freeman, Scarlett Johansson", Luc Besson, inglês, USA, 3, 100 
Pulp Fiction, Tempo de Violência ,"Vincent Vega (John Travolta) e Jules Winnfield (Samuel L. Jackson) são dois assassinos profissionais trabalham fazendo cobranças para Marsellus Wallace (Ving Rhames), um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites; enquanto isso, o pugilista Butch Coolidge (Bruce Willis) se mete em apuros por ganhar luta que deveria perder.", 149min, 1995, http://www.alltorrents.com.br/media/k2/items/cache/c511c1bbac51725f9a8fb4ceafe921f2_XL.jpg, <iframe width="420" height="315" src="https://www.youtube.com/embed/YBZp3tkua2Y" frameborder="0" allowfullscreen></iframe>, Suspense, "John Travolta, Samuel L. Jackson, Uma Thurman", Quentin Tarantino, Ingles, USA, 4, 305
Star Wars IV,Uma Nova Esperança,"Luke Skywalker (Mark Hammil) sonha ir para a Academia como seus amigos, mas se vê envolvido em uma guerra intergalática quando seu tio compra dois robôs e com eles encontra uma mensagem da princesa Leia Organa (Carrie Fisher) para o jedi Obi-Wan Kenobi (Alec Guiness) sobre os planos da construção da Estrela da Morte, uma gigantesca estação espacial com capacidade para destruir um planeta. Luke então se junta aos cavaleiros jedi e a Hans Solo (Harrison Ford), um mercenário, para tentar destruir esta terrível ameaça ao lado dos membros da resistência.",121,1977,https://upload.wikimedia.org/wikipedia/pt/8/87/StarWarsMoviePoster1977.jpg,https://www.youtube.com/embed/367FSjWvNB4,Aventura,"Mark Hamill, Harrison Ford, Carrie Fisher,Billy Dee Williams, Anthony Daniels”",George Lucas,Inglês,Estados Unidos,5,61231
Star Wars VII,O Despertar da Força,"Décadas após a queda de Darth Vader e do Império, surge uma nova ameaça: a Primeira Ordem, uma organização sombria que busca minar o poder da República e que tem Kylo Ren (Adam Driver), o General Hux (Domhnall Gleeson) e o Líder Supremo Snoke (Andy Serkis) como principais expoentes. Eles conseguem capturar Poe Dameron (Oscar Isaac), um dos principais pilotos da Resistência, que antes de ser preso envia através do pequeno robô BB-8 o mapa de onde vive o mitológico Luke Skywalker (Mark Hamill). Ao fugir pelo deserto, BB-8 encontra a jovem Rey (Daisy Ridley), que vive sozinha catando destroços de naves antigas. Paralelamente, Poe recebe a ajuda de Finn (John Boyega), um stormtrooper que decide abandonar o posto repentinamente. Juntos, eles escapam do domínio da Primeira Ordem.",175,2015,https://upload.wikimedia.org/wikipedia/pt/a/ae/Starwars_06.jpg,https://www.youtube.com/embed/4r0287tUEgk,Aventura,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver, Harrison Ford, Mark Hamill”",J.J. Adams,Inglês,Estados Unidos,4,2342
Star Wars VI,O Retorno do Jedi,"O imperador (Ian McDiarmid) está supervisionando a construção de uma nova Estrela da Morte. Enquanto isso Luke Skywalker (Mark Hamill) liberta Han Solo (Harrison Ford) e a Princesa Leia (Carrie Fisher) das mãos de Jaba, o pior bandido das galáxias. Luke só se tornará um cavaleiro jedi quando destruir Darth Vader, que ainda pretende atraí-lo para o lado negro da ""Força"". No entanto a luta entre os dois vai revelar um inesperado segredo.",173,1983,https://upload.wikimedia.org/wikipedia/pt/b/b2/ReturnOfTheJediPoster1983.jpg,https://www.youtube.com/embed/5UfA_aKBGMc,Aventura,"Mark Hamill, Harrison Ford, Carrie Fisher,Billy Dee Williams, Anthony Daniels”",George Lucas,Inglês,Estados Unidos,5,32332
Star Wars V,O Império Contra Ataca,"As forças imperais comandadas por Darth Vader (David Prowse) lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker (Mark Hamill) tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a Força e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da Força""",124,1980,https://upload.wikimedia.org/wikipedia/pt/5/5c/The_Empire_Strikes_Back.jpg,https://www.youtube.com/embed/JNwNXF9Y6kY,Aventura,"Mark Hamill, Harrison Ford, Carrie Fisher,Billy Dee Williams, Anthony Daniels”",George Lucas,Inglês,Estados Unidos,5,27987
O Senhor dos Aneis,A Sociedade do Anel,"Numa terra fantástica e única, chamada Terra-Média, um hobbit (seres de estatura entre 80 cm e 1,20 m, com pés peludos e bochechas um pouco avermelhadas) recebe de presente de seu tio o Um Anel, um anel mágico e maligno que precisa ser destruído antes que caia nas mãos do mal. Para isso o hobbit Frodo (Elijah Woods) terá um caminho árduo pela frente, onde encontrará perigo, medo e personagens bizarros. Ao seu lado para o cumprimento desta jornada aos poucos ele poderá contar com outros hobbits, um elfo, um anão, dois humanos e um mago, totalizando 9 pessoas que formarão a Sociedade do Anel.",165,2001,https://upload.wikimedia.org/wikipedia/pt/0/0c/The_Fellowship_Of_The_Ring.jpg,https://www.youtube.com/embed/IUerKBZHnBs,Aventura,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Billy Boyd”",Peter Jackson,Inglês,Estados Unidos,4,17456
O Senhor dos Aneis,As Duas Torres,"Após a captura de Merry (Dominic Monaghan) e Pippy (Billy Boyd) pelos orcs, a Sociedade do Anel é dissolvida. Enquanto que Frodo (Elijah Wood) e Sam (Sean Astin) seguem sua jornada rumo à Montanha da Perdição para destruir o Um Anel, Aragorn (Viggo Mortensen), Legolas (Orlando Bloom) e Gimli (John Rhys-Davies) partem para resgatar os hobbits sequestrados.",178,2002,http://br.web.img2.acsta.net/medias/nmedia/18/92/34/89/20194741.jpg,https://www.youtube.com/embed/l5A4R0Db4DI,Aventura,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Billy Boyd”",Peter Jackson,Inglês,Estados Unidos,5,16456
O Senhor dos Aneis,O Retorno do Rei,"Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf (Ian McKellen) e Pippin (Billy Boyd) partam para o local na intenção de ajudar a resistência. Um exército é reunido por Theoden (Bernard Hill) em Rohan, em mais uma tentativa de deter as forças de Sauron. Enquanto isso Frodo (Elijah Wood), Sam (Sean Astin) e Gollum (Andy Serkins) seguem sua viagem rumo à Montanha da Perdição, para destruir o Um Anel.",200,2003,http://br.web.img2.acsta.net/medias/nmedia/18/92/91/47/20224867.jpg,https://www.youtube.com/embed/Q9wZCGjBxyU,Aventura,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Billy Boyd”",Peter Jackson,Inglês,Estados Unidos,5,27456
O Poderoso Chefão, "" ,"Don Vito Corleone (Marlon Brando) é o chefe de uma 'família' de Nova York que está feliz, pois Connie (Talia Shire), sua filha, se casou com Carlo (Gianni Russo). Porém, durante a festa, Bonasera (Salvatore Corsitto) é visto no escritório de Don Corleone pedindo 'justiça', vingança na verdade contra membros de uma quadrilha, que espancaram barbaramente sua filha por ela ter se recusado a fazer sexo para preservar a honra.",175,1972,https://upload.wikimedia.org/wikipedia/pt/7/71/Chefão.jpg,https://www.youtube.com/embed/5DO-nDW43Ik,Drama,"Marlon Brando, Al Pacino, James Caan, Richard Castellano, Robert Duvall, Sterling Hayden, John Marley”",Francis Ford Coppola,Inglês,Estados Unidos,5,59890
Um Sonho de Liberdade, "" ,"Em 1946, Andy Dufresne (Tim Robbins), um jovem e bem sucedido banqueiro, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton (Bob Gunton), o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley (Clancy Brown) que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding (Morgan Freeman), um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição.",140,1995,http://br.web.img2.acsta.net/medias/nmedia/18/90/16/48/20083748.jpg,https://www.youtube.com/embed/LV3-nl8v95o,Drama ,"Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,Inglês,Estados Unidos,4,23456
Forrest Gump,O Contador de Histórias,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump (Tom Hanks), um rapaz com QI abaixo da média e boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e Watergate, mas continua pensando no seu amor de infância, Jenny Curran.",140,1994,http://pethistoriaufs.org/wp-content/uploads/2015/02/capa5445.png,https://www.youtube.com/embed/bLvqoHBptjg,Comédia,"Tom Hanks, Gary Sinise, Robin Wright”",Robert Zemeckis,Inglês,Estados Unidos,4,43222
Batman,O Cavaleiro das Trevas,"Após dois anos desde o surgimento do Batman (Christian Bale), os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon (Gary Oldman) e do promotor público Harvey Dent (Aaron Eckhart), Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa (Heath Ledger) e o contratam para combater o Homem-Morcego.",147,2008,http://1.bp.blogspot.com/-AfxqI-mOxYc/Uht6OPbPLMI/AAAAAAAAAnw/aE3tSXZQ5m8/s1600/Batman+-+O+Cavaleiro+das+Trevas.jpg,https://www.youtube.com/embed/4gHh4TGxCK0,Ação,"Christian Bale, Heath Ledger, Aaron Eckhar”",Christopher Nolan,Inglês,Estados Unidos,3,27345
O Auto da Compadecida, "" ,"As aventuras dos nordestinos João Grilo (Matheus Natchergaele), um sertanejo pobre e mentiroso, e Chicó (Selton Mello), o mais covarde dos homens. Ambos lutam pelo pão de cada dia e atravessam por vários episódios enganando a todos do pequeno vilarejo de Taperoá, no sertão da Paraíba. A salvação da dupla acontece com a aparição da Nossa Senhora (Fernanda Montenegro). Adaptação da obra de Ariano Suassuna.",95,2000,http://www.filmesonline10.net/wp-content/uploads/2016/02/o-auto-da-compadecida.jpg,https://www.youtube.com/embed/XPuMu_ENzlg,Comédia,"Matheus Nachtergaele, Selton Mello, Denise Fraga”",Guel Arraes,Português,Brasil,3,1290
Cidade de Deus, "" ,"Buscapé (Alexandre Rodrigues) é um jovem pobre, negro e muito sensível, que cresce em um universo de muita violência. Buscapé vive na Cidade de Deus, favela carioca conhecida por ser um dos locais mais violentos da cidade. Amedrontado com a possibilidade de se tornar um bandido, Buscapé acaba sendo salvo de seu destino por causa de seu talento como fotógrafo, o qual permite que siga carreira na profissão. É através de seu olhar atrás da câmera que Buscapé analisa o dia-a-dia da favela onde vive, onde a violência aparenta ser infinita.",155,2002,https://cdn.fstatic.com/media/movies/covers/2011/06/thumbs/8a6904a1a37da4bbae7430c57fffeb05_jpg_290x478_upscale_q90.jpg,https://www.youtube.com/embed/nVliCPEaWq0,Drama,"Alexandre Rodrigues, Leandro Firmino da Hora, Phellipe Haagensen”",Fernando Meirelles,Português,Brasil,3,12232
